query_no,query_str,total_sampling_time,total_tuples
0,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE origin='ATL';,0.35980257100163726,11536
1,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE unique_carrier='TW';,1.173470173998794,11144
2,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE origin_state_abr='LA';,1.4621525039838161,11014
3,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE origin_state_abr='LA' AND  dest_state_abr='CA';,11.019421414996032,10116
4,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE origin_state_abr='LA' AND dest='JFK';,96.20808628504165,10012
5,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE unique_carrier='9E';,1.5167410699941684,10094
6,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE dest='HPN';,11.65403358299227,10029
7,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE origin='PHX';,0.6314020840000012,11875
8,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01);,0.7963608530044439,103840
9,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01);,0.8285477929966873,99000
10,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE origin_state_abr = 'CA' AND dest_state_abr = 'HI';,10.123024055988935,10054
11,SELECT * FROM flights TABLESAMPLE SYSTEM(0.01) WHERE unique_carrier = 'UA' AND origin = 'ATL';,2.8464463020063704,10535
