query_id,true_cardinality, estimated_cardinality, estimated_cardinality_80_20
0,715,934.8655089163694,1378.5285514945979,0.620508
1,9,2.290324221505508,2.01954875344137,0.0300862
2,47,13.76564886492521,17.81928522286936,0.0862476
3,16,4.515447807853993,4.667958735596894,0.00953193
4,148552,219708.984265595,280377.99165251054,0.408402
5,62682311,61473670.42475064,73227061.00643091,0.187507
6,11990578,15581829.580408314,17606481.91786795,0.168854
7,157041640,157373887.0205255,180170915.44702655,0.145166
8,850677,385258.3133855769,505995.3202617284,0.14193
9,179616,125489.74123307607,152686.2270860279,0.151415
10,2031666,797305.8503435935,1115416.8088737568,0.156576
11,6333736,6119869.394435804,8015946.116913462,0.299362
12,1931628,2028153.6639413487,2685701.4721789304,0.340411
13,12738520,11902955.99171585,15460509.536960172,0.279275
14,1224,30.939428210612483,41.483870666980174,0.00861474
15,13221,13608.98034935409,14085.822008448647,0.036067
16,33,1.0,1.0,0
17,1224,230.21502608477124,293.5487962349435,0.0517433
18,114182642,120245544.3511159,125636185.08925997,0.0472107
19,4533382,4502644.540004386,4766269.475686103,0.0581519
20,695701,690983.5595976633,730601.4474476812,0.0569467
21,21454165,21316034.03117451,22561261.620510552,0.0580413
22,13355828,14232661.548387395,15024378.697693475,0.0592788
23,4450853,5493216.750181773,5825710.193938305,0.0747033
24,794591,577672.8327463117,536019.8484912139,0.0524207
25,4893440,5864256.595398715,6177474.8956069425,0.0640078
26,1381288,1565043.2843409907,1661893.9993357372,0.0701162
27,8720023,10078799.809824374,10612642.745377494,0.0612204
28,2873214,3598094.700039941,3796820.5162324584,0.069165
29,56965403,57072195.967360854,60232999.408888094,0.0554864
30,7153,8424.536257930582,11209.373412270263,0.389324
31,14102,22179.230899477534,36148.434302718524,0.990583
32,31339132,19379095.432329528,27519511.718598105,0.259752
33,75440,92417.94017398747,105729.40333223708,0.176451
34,72,6.465505490153803,7.215976176530011,0.0104232
35,305691,375084.53601305827,430695.06014231505,0.181917
36,1919495,1214396.1681214022,1557313.472849016,0.17865
37,150780,292127.94866859086,337551.75448184705,0.301259
38,3243247,3511865.761824638,3919886.616022025,0.125806
39,1043763,1283084.1004075175,1482028.8386986372,0.190603
40,512575801,317133594.8813703,374645216.01249135,0.112201
41,206778521,112918826.9068316,136256534.33903906,0.112863
42,625302823,464189306.1325981,539298061.3243585,0.120116
43,7796926,19360584.762293667,24618078.66466829,0.674303
44,1831108,1816914.2309247854,2083248.2628273696,0.14545
45,2936093,3541668.1117989053,4061120.0507686716,0.176919
46,16461908,15570608.261191411,17691973.22693223,0.128865
47,24675801,27464549.760492854,30817236.940998167,0.135869
48,132317651,142441532.50629932,151650472.0286492,0.0695972
49,90649862,98141620.5834157,110586724.57500966,0.137288
50,151179813,130440378.07452877,137741100.00145775,0.0482916
51,84217062,77241691.15003473,80720666.69158551,0.0413096
52,333474,796957.7954985163,1054464.2101151738,0.772193
53,307213,733220.7094238577,937101.1139329517,0.663645
54,658557,1586792.7726383288,2061501.3220907843,0.720831
55,8275169,7269282.373168081,8345349.12082825,0.130036
56,5060606,5250443.312234733,6008567.135153684,0.149809
57,1352809555,1298655920.1836414,1382789898.045776,0.062192
58,191935,46388.236104690666,88915.54168107429,0.221571
59,9537310863,9820136379.471682,11722461925.996506,0.199461
60,492943940,464091812.4381829,535332833.02547437,0.144522
61,32355583,39423296.88918466,46296518.861868225,0.212428
62,81495003,28802215.85720598,39331570.319021106,0.129202
63,51282842,17627830.76210484,23365831.006581716,0.111889
64,19006,47436.889368164666,58429.21850336216,0.578361
65,26718423,22116331.035968535,26178048.172424793,0.152019
66,15813608,13196274.801346902,15453769.456367685,0.142756
67,1067496,712654.0127865566,873050.6742894686,0.150255
68,268172,309633.78594145103,372096.2384354241,0.232919
69,258385218,239524053.59576163,288140450.55886644,0.188155
